Bernhard;Rendl;AUT;M50;02:56:49
Anthony;RICARDO;FRA;Msen;02:34:32
Francois;Riguelle;BEL;Msen;02:54:55
Konstantinos;Rompos;GRE;M35;02:46:52
Joris;Rosschaert;BEL;Msen;02:56:55
Pasquale;Rutigliano;ITA;M35;02:22:10
Manuel;Salgado;ESP;M40;02:46:34
Christian;Sanchez;FRA;M35;02:37:25
Xavier;Sandrin;FRA;Msen;02:50:53
Antonello;Sanna;ITA;M40;02:52:15
Runar;Sannerud;NOR;M40;02:43:13
Andre;Santiago;BRA;Msen;02:49:59
Ricardo;Santos;BRA;M45;02:49:26
Kimmo;Savolainen;FIN;M35;02:47:31
Paul;Schaaf;GER;M45;02:56:05
Reto;Schooch;SUI;M35;02:51:42
Patricia;Schreurs;NED;Fsen;02:52:52
Ronald;Schroer;NED;Msen;02:17:53
Francis;Scieur;BEL;M50;02:47:11
Joao;Seixas;POR;M35;02:45:00
Joren;Selleslaghs;NED;Msen;02:56:22
Samuel;Simonet;FRA;M35;02:55:00
Piotr;Slezak;POL;Msen;02:38:52
Franke;Smidstra;NED;Msen;02:49:59
David;Smyth;IRL;M40;02:51:29
Lasse;Soerlund;NED;M45;02:55:32
Mikkel;Sorensen;NOR;Msen;02:37:52
Lowie;Steenwegen;BEL;M50;02:47:59
Jan;Stelzner;GER;Msen;02:42:38
Thomas;Svanstrom;SWE;M45;02:55:18
Eliud;Tarus;KEN;Msen;02:10:45
Philip;Teece;GBR;M55;02:50:34
Eladio;Telecher;FRA;M55;02:42:49
Pip;Tesselaar;NED;Msen;02:34:04
Fabien;TETELIN;FRA;M35;02:39:23
Stefan;Thaler;ITA;M40;02:52:12
Bjorn;Tho;NOR;Msen;02:54:39
Yannick;Thomas;FRA;M40;02:54:55
Jos;Timans;NED;Msen;02:31:08
Rinalds;Trukss;LAT;Msen;02:53:04
Roman;Usakov;DEN;Msen;02:53:50
Ambroise;Uwiragiye;RWA;Msen;02:19:40
Matej;Valtr;ESP;M35;02:56:20
Willem;vanDerbosh;BEL;Msen;02:19:40
Erik;vanFloren;NED;Msen;02:39:51
Joost;vanBasten;NED;M45;02:44:30
Filip;VanPetigen;BEL;M45;02:46:34
Joris;vanOoijdonk;NED;Msen;02:50:40
Michiel;vananaken;NED;Msen;02:51:00
Niek;vanDerWiel;NED;Msen;02:53:45
Wiebe;VanDerSar;BEL;Msen;02:54:00
Jan;VanIjk;NED;Msen;02:54:00
Wouter;Vanbrabant;BEL;M35;02:55:54
Jeroen;vanDamme;NED;Msen;02:29:06
Hugo;vanDEn;NED;Msen;02:34:55
Hanna;Vandenbussche;BEL;Fsen;02:42:53
Erik;vanDerBrugen;NED;Msen;02:54:21
Thomas;vanDerHook;NED;Msen;02:54:35
Reinout;vanDerLinden;NED;M35;02:49:51
Hermen;vanDerWal;NED;Msen;02:51:47
Paul;vanDerWorst;NED;Msen;02:52:42
